Order ID,Order Date,Processing Time (Days),Ship Date,Dispatch Time (Hours),Ship Mode,Expected Delivery Date,Actual Delivery Date,Delivery Distance (KM),Shipping Cost,Region,City,Category,Sales,Carrier,Delay Reason,Warehouse Location,Order Priority,Order Quantity,Customer Type
ORD100000,13-04-2023,2,15-04-2023,9,First Class,17-04-2023,20-04-2023,127,121.61,West,Mumbai,Technology,4270.68,Ecom Express,Weather,WH-C,Low,7,Consumer
ORD100001,15-12-2023,1,16-12-2023,7,First Class,18-12-2023,18-12-2023,1063,586.15,East,Chennai,Office Supplies,578.05,Ecom Express,Unknown,WH-D,High,5,Consumer
ORD100002,28-09-2023,1,29-09-2023,21,First Class,01-10-2023,05-10-2023,622,740.2,West,Mumbai,Technology,1641.13,DHL,Inventory Issue,WH-A,Low,3,Consumer
ORD100003,17-04-2023,1,18-04-2023,8,First Class,20-04-2023,23-04-2023,992,1133.19,East,Chennai,Office Supplies,2591.55,FedEx,Carrier Delay,WH-C,Medium,8,Consumer
ORD100004,13-03-2023,3,16-03-2023,14,Second Class,19-03-2023,24-03-2023,844,997.21,Central,Chennai,Furniture,3267.67,Ecom Express,Weather,WH-B,Low,1,Corporate
ORD100005,08-07-2023,1,09-07-2023,3,First Class,11-07-2023,11-07-2023,420,298.71,South,Bangalore,Office Supplies,4767.9,DHL,Unknown,WH-D,Low,8,Corporate
ORD100006,21-01-2023,3,24-01-2023,23,First Class,26-01-2023,26-01-2023,712,922.54,East,Hyderabad,Furniture,1569.8,BlueDart,Unknown,WH-A,High,4,Consumer
ORD100007,13-04-2023,2,15-04-2023,8,First Class,17-04-2023,17-04-2023,1649,1614.65,West,Hyderabad,Furniture,472.48,BlueDart,Unknown,WH-D,High,2,Home Office
ORD100008,02-05-2023,2,04-05-2023,2,Second Class,07-05-2023,10-05-2023,641,664.3,East,Hyderabad,Technology,2321.24,FedEx,Unknown,WH-C,Low,7,Consumer
ORD100009,03-08-2023,1,04-08-2023,7,First Class,06-08-2023,04-08-2023,1355,1417.1,South,Hyderabad,Office Supplies,1759.08,Ecom Express,Unknown,WH-B,Low,4,Corporate
ORD100010,27-11-2023,2,29-11-2023,17,Second Class,02-12-2023,30-11-2023,1323,1040.94,Central,Chennai,Technology,3020.59,FedEx,Unknown,WH-B,Low,4,Consumer
ORD100011,29-03-2023,1,30-03-2023,9,Standard Class,04-04-2023,06-04-2023,1460,1095.2,West,Hyderabad,Office Supplies,4617.77,FedEx,Customer Not Available,WH-D,Medium,6,Corporate
ORD100012,10-04-2023,3,13-04-2023,14,First Class,15-04-2023,13-04-2023,351,177.17,Central,Chennai,Office Supplies,3234.62,FedEx,Unknown,WH-B,Medium,2,Corporate
ORD100013,26-12-2023,2,28-12-2023,19,Same Day,29-12-2023,27-12-2023,41,36.76,Central,Mumbai,Office Supplies,2911.17,DHL,Unknown,WH-B,Medium,5,Home Office
ORD100014,01-06-2023,1,02-06-2023,15,Second Class,05-06-2023,05-06-2023,1728,1702.26,South,Delhi,Technology,1268.12,FedEx,Unknown,WH-A,High,9,Corporate
ORD100015,11-05-2023,2,13-05-2023,19,Standard Class,18-05-2023,18-05-2023,516,641.29,East,Delhi,Technology,1360.58,BlueDart,Unknown,WH-B,High,3,Consumer
ORD100016,30-05-2023,2,01-06-2023,5,Second Class,04-06-2023,05-06-2023,853,483.33,East,Mumbai,Office Supplies,2208.58,Ecom Express,Traffic,WH-B,High,4,Corporate
ORD100017,05-11-2023,1,06-11-2023,16,Second Class,09-11-2023,09-11-2023,1998,2845.13,East,Chennai,Technology,4461.9,Delhivery,Unknown,WH-D,High,3,Consumer
ORD100018,15-09-2023,2,17-09-2023,6,Standard Class,22-09-2023,25-09-2023,1928,1472.91,East,Hyderabad,Office Supplies,2918.44,Delhivery,Carrier Delay,WH-D,Low,7,Home Office
ORD100019,10-12-2023,2,12-12-2023,22,First Class,14-12-2023,15-12-2023,539,467.16,West,Bangalore,Technology,2498.51,Delhivery,Weather,WH-D,High,3,Home Office
ORD100020,21-10-2023,2,23-10-2023,15,First Class,25-10-2023,29-10-2023,914,501.2,Central,Chennai,Technology,2735.61,Ecom Express,Traffic,WH-B,High,7,Corporate
ORD100021,11-07-2023,2,13-07-2023,17,Second Class,16-07-2023,17-07-2023,777,895.99,East,Chennai,Furniture,4177.22,FedEx,Unknown,WH-D,Low,5,Home Office
ORD100022,04-10-2023,3,07-10-2023,16,Standard Class,12-10-2023,17-10-2023,1734,2096.27,Central,Mumbai,Technology,3405.58,Ecom Express,Customer Not Available,WH-B,Low,3,Corporate
ORD100023,10-06-2023,2,12-06-2023,12,First Class,14-06-2023,12-06-2023,1906,2723.28,West,Mumbai,Office Supplies,4640.75,Ecom Express,Unknown,WH-A,Medium,1,Home Office
ORD100024,10-11-2023,2,12-11-2023,3,Second Class,15-11-2023,20-11-2023,668,559,West,Bangalore,Technology,2929.62,DHL,Weather,WH-C,Low,5,Corporate
ORD100025,22-01-2023,1,23-01-2023,19,Same Day,24-01-2023,24-01-2023,1046,792.21,West,Hyderabad,Technology,1020.34,Ecom Express,Unknown,WH-C,Low,9,Corporate
ORD100026,10-09-2023,3,13-09-2023,5,Standard Class,18-09-2023,16-09-2023,31,38.01,Central,Delhi,Office Supplies,142.69,DHL,Unknown,WH-C,High,4,Consumer
ORD100027,24-08-2023,1,25-08-2023,16,Same Day,26-08-2023,26-08-2023,540,651.67,East,Hyderabad,Technology,1619.71,BlueDart,Unknown,WH-D,Low,9,Corporate
ORD100028,11-12-2023,1,12-12-2023,13,Same Day,13-12-2023,11-12-2023,1057,1519.04,Central,Hyderabad,Furniture,360.54,DHL,Unknown,WH-A,Medium,3,Consumer
ORD100029,18-02-2023,1,19-02-2023,4,Second Class,22-02-2023,26-02-2023,1679,1184.23,East,Chennai,Furniture,2064.97,Delhivery,Weather,WH-C,Low,8,Corporate
ORD100030,28-02-2023,3,03-03-2023,5,Standard Class,08-03-2023,06-03-2023,1012,1219.76,South,Bangalore,Furniture,980.06,DHL,Unknown,WH-B,Medium,5,Corporate
ORD100031,19-06-2023,1,20-06-2023,22,First Class,22-06-2023,20-06-2023,662,375.27,East,Chennai,Furniture,2054.32,BlueDart,Unknown,WH-A,High,6,Corporate
ORD100032,07-07-2023,1,08-07-2023,17,First Class,10-07-2023,13-07-2023,1663,1630.35,East,Mumbai,Office Supplies,2026.06,Ecom Express,Traffic,WH-D,Low,4,Home Office
ORD100033,28-09-2023,1,29-09-2023,7,Second Class,02-10-2023,06-10-2023,644,398.89,East,Delhi,Office Supplies,1417.53,Delhivery,Traffic,WH-C,Medium,6,Home Office
ORD100034,09-07-2023,2,11-07-2023,3,First Class,13-07-2023,18-07-2023,1908,2200.2,West,Bangalore,Furniture,3281.46,DHL,Inventory Issue,WH-C,Medium,3,Corporate
