Order ID,Order Date,Processing Time (Days),Ship Date,Dispatch Time (Hours),Ship Mode,Expected Delivery Date,Actual Delivery Date,Delivery Distance (KM),Shipping Cost,Region,City,Category,Sales,Carrier,Delay Reason,Warehouse Location,Order Priority,Order Quantity,Customer Type
ORD100000,13-04-2023,2,15-04-2023,9,First Class,17-04-2023,20-04-2023,127.0,121.61,West,Mumbai,Technology,4270.68,Ecom Express,Weather,WH-C,Low,7,Consumer
ORD100001,15-12-2023,1,16-12-2023,7,First Class,18-12-2023,18-12-2023,1063.0,586.15,East,Chennai,Office Supplies,578.05,Ecom Express,Unknown,WH-D,High,5,Consumer
ORD100002,28-09-2023,1,29-09-2023,21,First Class,01-10-2023,05-10-2023,622.0,740.20,West,Mumbai,Technology,1641.13,DHL,Inventory Issue,WH-A,Low,3,Consumer
ORD100003,17-04-2023,1,18-04-2023,8,First Class,20-04-2023,23-04-2023,992.0,1133.19,East,Chennai,Office Supplies,2591.55,FedEx,Carrier Delay,WH-C,Medium,8,Consumer
ORD100004,13-03-2023,3,16-03-2023,14,Second Class,19-03-2023,24-03-2023,844.0,997.21,Central,Chennai,Furniture,3267.67,Ecom Express,Weather,WH-B,Low,1,Corporate
ORD100005,08-07-2023,1,09-07-2023,3,First Class,11-07-2023,11-07-2023,420.0,298.71,South,Bangalore,Office Supplies,4767.90,DHL,Unknown,WH-D,Low,8,Corporate
ORD100006,21-01-2023,3,24-01-2023,23,First Class,26-01-2023,26-01-2023,712.0,922.54,East,Hyderabad,Furniture,1569.80,BlueDart,Unknown,WH-A,High,4,Consumer
ORD100007,13-04-2023,2,15-04-2023,8,First Class,17-04-2023,17-04-2023,1649.0,1614.65,West,Hyderabad,Furniture,472.48,BlueDart,Unknown,WH-D,High,2,Home Office
ORD100008,02-05-2023,2,04-05-2023,2,Second Class,07-05-2023,10-05-2023,641.0,664.30,East,Hyderabad,Technology,2321.24,FedEx,Unknown,WH-C,Low,7,Consumer
ORD100009,03-08-2023,1,04-08-2023,7,First Class,06-08-2023,04-08-2023,1355.0,1417.10,South,Hyderabad,Office Supplies,1759.08,Ecom Express,Unknown,WH-B,Low,4,Corporate
